Event Name,Raw Date,Start Date,End Date,Venue,Country,Discipline,Competition Group,Result Link
National Indoor Grand Prix 1,10-11 FEB 2025,2025-02-10,2025-02-11,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN)",CHN,"Combined Events, Track and Field",World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7217607
Meeting de Paris Indoor,09 FEB 2025,2025-02-09,2025-02-09,"AccorHotels Arena de Bercy, Paris (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213882
ISTAF Indoor Düsseldorf,09 FEB 2025,2025-02-09,2025-02-09,"PSD Bank Dome, Düsseldorf (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213907
Meeting Metz Moselle Athlelor,08 FEB 2025,2025-02-08,2025-02-08,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213883
5th International High Jump Gala Elmos,08 FEB 2025,2025-02-08,2025-02-08,"Sporthal De Lichten, Heist-op-den-Berg (BEL)",BEL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213592
Orlen Cup Łódź,08 FEB 2025,2025-02-08,2025-02-08,"Atlas Arena, Łódź (POL)",POL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7217747
Hustopečské skákání,08 FEB 2025,2025-02-08,2025-02-08,"Městská sportovní hala, Hustopeče (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213853
BKK Freundenburg High Jump Meeting,07 FEB 2025,2025-02-07,2025-02-07,"TSG-Halle, Weinheim (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213908
INIT Indoor Meeting Karlsruhe,07 FEB 2025,2025-02-07,2025-02-07,"Europahalle, Karlsruhe (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7214049
Air Loughborough,07 FEB 2025,2025-02-07,2025-02-07,"Loughborough University Indoor Track, Loughborough (GBR)",GBR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7220927
Doc Hale Virginia Tech Invitational,07-08 FEB 2025,2025-02-07,2025-02-08,"Rector Fieldhouse, Blacksburg, VA (USA)",USA,"Combined Events, Track and Field",World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7221707
Gran Premio Ciudad de Valencia,07 FEB 2025,2025-02-07,2025-02-07,"Velódromo Luis Puig, Valencia (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213951
Tampere Indoor Meeting,06 FEB 2025,2025-02-06,2025-02-06,"TESC, Tampere (FIN)",FIN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213906
Millrose Games,06-08 FEB 2025,2025-02-06,2025-02-08,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7199900
Udin Jump Development,06 FEB 2025,2025-02-06,2025-02-06,"Palaindoor O. Bernes, Udine (ITA)",ITA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7217777
Beskyd bar,05 FEB 2025,2025-02-05,2025-02-05,"Werk Arena, Třinec (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213854
Czech Indoor Gala,04 FEB 2025,2025-02-04,2025-02-04,"Atletická hala, Ostrava (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7208973
Meeting de L'Eure,02 FEB 2025,2025-02-02,2025-02-02,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213885
Rochlitz Shot Put Meeting,02 FEB 2025,2025-02-02,2025-02-02,"Turnhalle Am Regenbogen, Rochlitz (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213910
New Balance Indoor Grand Prix,02 FEB 2025,2025-02-02,2025-02-02,"The Track at New Balance, Boston, MA (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213961
sscottishathletics EAP Indoor International,02 FEB 2025,2025-02-02,2025-02-02,"Emirates Arena, Glasgow (GBR)",GBR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7220956
Meeting 3 Sauts,01 FEB 2025,2025-02-01,2025-02-01,"Salle Marie Collonvillé, Amiens (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213886
IFAM Gent Indoor,01 FEB 2025,2025-02-01,2025-02-01,"Topsporthal Vlaanderen, Gent (BEL)",BEL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213851
Vault Manchester,01 FEB 2025,2025-02-01,2025-02-01,"Sportcity Indoor Track, Manchester (GBR)",GBR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7218244
PNC Lenny Lyles Invitational,31 JAN-01 FEB 2025,2025-01-31,2025-02-01,"Norton Sports Center, Louisville, KY (USA)",USA,"Combined Events, Track and Field",World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7221211
Perch'Xtrem,31 JAN-01 FEB 2025,2025-01-31,2025-02-01,"Palais des Sports Caen la Mer, Caen (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213889
Elite Indoor Track Miramas Meeting,31 JAN 2025,2025-01-31,2025-01-31,"Stadium Miramas Métropole, Miramas (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213888
12. Nationales Hallenmeeting Erfurt Indoor 2025,31 JAN 2025,2025-01-31,2025-01-31,"Hartwig-Gauder-Halle, Erfurt (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213914
Gorzów Jump Festival,30 JAN 2025,2025-01-30,2025-01-30,"Arena Gorzów, Gorzów Wielkopolski (POL)",POL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7218701
GP Jyväskylä Indoor,29 JAN 2025,2025-01-29,2025-01-29,"Hipposhalli, Jyväskylä (FIN)",FIN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213803
International Jump Meeting Cottbus,29 JAN 2025,2025-01-29,2025-01-29,"Lausitz-Arena, Cottbus (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213911
Belgrade Indoor Meeting,29 JAN 2025,2025-01-29,2025-01-29,"Atletska dvorana, Beograd (SRB)",SRB,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7216766
Meeting Moniz Pereira,26 JAN 2025,2025-01-26,2025-01-26,"Expocentro, Pombal (POR)",POR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7219162
26. Internationales Leichtathletik Hallenmeeting,25 JAN 2025,2025-01-25,2025-01-25,"Leichtathletikhalle im Sportforum, Chemnitz (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213915
Nordhausen Indoor Kugelstossen,25 JAN 2025,2025-01-25,2025-01-25,"Wiedigsburghalle, Nordhausen (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213913
Dr. Sander Invitational,25 JAN 2025,2025-01-25,2025-01-25,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7217189
Metting de Nantes Metropole,25 JAN 2025,2025-01-25,2025-01-25,"Stadium Pierre-Quinon, Nantes (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213891
Jablonec Indoor,25 JAN 2025,2025-01-25,2025-01-25,"Atletická hala - stadion Střelnice, Jablonec nad Nisou (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213761
Astana Indoor Meet for Amin Tuyakov Prizes,25 JAN 2025,2025-01-25,2025-01-25,"Track & Field complex QAZAQSTAN, Astana (KAZ)",KAZ,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213355
Perche Elite Tour Rouen,24-26 JAN 2025,2025-01-24,2025-01-26,"Complexe Kindarena, Rouen (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7214223
Otrokovice Jump,22 JAN 2025,2025-01-22,2025-01-22,"Městská sportovní hala, Otrokovice (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213850
Aarhus SPRINT’n’JUMP,21 JAN 2025,2025-01-21,2025-01-21,"Aarhus Atletik og Løbeakademi, Århus (DEN)",DEN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213722
CMCM Luxembourg Indoor Meeting,19 JAN 2025,2025-01-19,2025-01-19,"Coque Sport Center, Luxembourg (LUX)",LUX,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213686
Vaggelis Kourkoutidis Memorial,18 JAN 2025,2025-01-18,2025-01-18,"Tasoula Kelesidou indoor track, Thessaloniki (GRE)",GRE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7218214
Meeting de Saut en Hauteur d'Hirson,18 JAN 2025,2025-01-18,2025-01-18,"Salle Georges Hébert, Hirson (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7216619
"IV Memorial ""Alessio Giovannini""",18 JAN 2025,2025-01-18,2025-01-18,"Palaindoor Ancona, Ancona (ITA)",ITA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7217776
I Meeting Internacional de Ourense,18 JAN 2025,2025-01-18,2025-01-18,"Pistas Expourense, Ourense (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7215334
Sparkassen Indoor Meeting Dortmund,18 JAN 2025,2025-01-18,2025-01-18,"Helmut-Körnig-Halle, Dortmund (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213912
Starperche,18 JAN 2025,2025-01-18,2025-01-18,"Palais des Sports, Bordeaux (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213893
Česká tyčka,18 JAN 2025,2025-01-18,2025-01-18,"Přetlaková hala Strahov, Strahov, Praha (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213786
Stabhochsprung Stars 2025,12 JAN 2025,2025-01-12,2025-01-12,"Raiffeisen athletics-center, Frauenfeld (SUI)",SUI,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7217679
Loughborough Indoor Pole Vault Memorial,12 JAN 2025,2025-01-12,2025-01-12,"Loughborough University Indoor Track, Loughborough (GBR)",GBR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7218289
Univers Perche,11 JAN 2025,2025-01-11,2025-01-11,"Centre Sportif du Dévoluy, Superdévoluy (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213895
Meeting Internacional de Catalunya,10 JAN 2025,2025-01-10,2025-01-10,"Pista Coberta de Catalunya, Sabadell (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7213887
Pole Vault GP Tallinn,02 JAN 2025,2025-01-02,2025-01-02,"Lasnamäe Kergejõustikuhall, Tallinn (EST)",EST,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7216985
Chinese Indoor GP Series 2,02-03 MAR 2024,2024-03-02,2024-03-03,Xi'an (CHN),CHN,"Combined Events, Track and Field",World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7206021
Chinese Indoor GP Series 1,27-28 FEB 2024,2024-02-27,2024-02-28,"Xipu Training Base Indoor Athletics Stadium, Chengdu (CHN)",CHN,"Combined Events, Track and Field",World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7206020
Perche Elite Tour Rouen,24 FEB 2024,2024-02-24,2024-02-24,"Complexe Kindarena, Rouen (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203690
ISTAF Indoor 2024,23 FEB 2024,2024-02-23,2024-02-23,"Uber Arena, Berlin (GER)",GER,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203691
World Indoor Tour Gold Madrid 2024,23 FEB 2024,2024-02-23,2024-02-23,"Gallur, Madrid (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7162653
All Star Perche by SCC,21-22 FEB 2024,2024-02-21,2024-02-22,"Maison des Sports, Clermont-Ferrand (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7205041
Memorial Josip Gasparac,20-21 FEB 2024,2024-02-20,2024-02-21,"Dvorane Gradski Vrt, Osijek (CRO)",CRO,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203692
Hvězdy v Nehvizdech,20 FEB 2024,2024-02-20,2024-02-20,"Sportovní Hala, Nehvizdy (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203693
PNG Valentine Meet / Indoor,14 FEB 2024,2024-02-14,2024-02-14,"Gatorade Center, Turku (FIN)",FIN,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7206988
Perche en Or,14 FEB 2024,2024-02-14,2024-02-14,"Stabinski Velodrome, Roubaix (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203715
Belgrade Indoor Meeting,13 FEB 2024,2024-02-13,2024-02-13,"Atletska dvorana, Beograd (SRB)",SRB,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203694
30th Banskobystrická latka,13 FEB 2024,2024-02-13,2024-02-13,"Športová hala Dukla, Banská Bystrica (SVK)",SVK,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203695
Nordic indoor match,11 FEB 2024,2024-02-11,2024-02-11,"Bærum Idrettspark, Rud, Bærum (NOR)",NOR,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7204308
Stabhochsprung Stars 2024,11 FEB 2024,2024-02-11,2024-02-11,"Raiffeisen athletics-center, Frauenfeld (SUI)",SUI,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7204310
Meeting de Paris,11 FEB 2024,2024-02-11,2024-02-11,"AccorHotels Arena de Bercy, Paris (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203696
Meeting Hauts-de-France Pas-de-Calais Trophée EDF,10 FEB 2024,2024-02-10,2024-02-10,"Arena Stade Couvert, Liévin (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7191164
International High Jump Gala Elmos,10 FEB 2024,2024-02-10,2024-02-10,"Sporthal De Lichten, Heist-op-den-Berg (BEL)",BEL,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203713
Hustopečské skákání,10 FEB 2024,2024-02-10,2024-02-10,"Městská sportovní hala, Hustopeče (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203697
Millrose Games,09-11 FEB 2024,2024-02-09,2024-02-11,"Armory Track&Field Center, New York, NY (USA)",USA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7191163
Meeting Indoor de Lyon,09 FEB 2024,2024-02-09,2024-02-09,"Halle Stéphane Diagana, Lyon (FRA)",FRA,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203698
Beskydská laťka,07 FEB 2024,2024-02-07,2024-02-07,"Werk Arena, Třinec (CZE)",CZE,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7203700
Meeting Ciudad de Valencia,07 FEB 2024,2024-02-07,2024-02-07,"Velódromo Luis Puig, Valencia (ESP)",ESP,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7205537
Stabhochsprung Stars,11 JAN 2026,2026-01-11,2026-01-11,"Raiffeisen athletics-center, Frauenfeld (SUI)",SUI,Track and Field,World Athletics Indoor Tour,https://worldathletics.org/competition/calendar-results/results/7232764
Grand Prix Sudamericano - Paraguay,25 OCT 2025,2025-10-25,2025-10-25,"Parque Olímpico Pista De Atletismo, Luque, Asunción (PAR)",PAR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7231417
Atletang Ayala World Pole Vault Challenge,21 SEP 2025,2025-09-21,2025-09-21,"Ayala Triangle Garden, Makati (PHI)",PHI,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7229781
World Athletics Continental Tour - Beijing,07 SEP 2025,2025-09-07,2025-09-07,"National Stadium, Beijing (CHN)",CHN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7217161
Velká cena Chebu,05 SEP 2025,2025-09-05,2025-09-05,"Stadion v Poohří, Cheb (CZE)",CZE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218872
The Monument Mile Classic,30 AUG 2025,2025-08-30,2025-08-30,"University of Stirling Track, Stirling (GBR)",GBR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7217816
Manchester International,30 AUG 2025,2025-08-30,2025-08-30,"Manchester Regional Arena, Manchester (GBR)",GBR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7226665
Klaverblad International High Jump Meeting,24 AUG 2025,2025-08-24,2025-08-24,"ARV Ilion, Zoetermeer (NED)",NED,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7225832
Grande Prêmio Brasil de Atletismo,24 AUG 2025,2025-08-24,2025-08-24,"CNDA, Bragança Paulista (BRA)",BRA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7223459
Atletismo Brasil Challenger,24 AUG 2025,2025-08-24,2025-08-24,"CNDA, Bragança Paulista (BRA)",BRA,"Race Walking, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7230563
VI Asta in Piazza Aosta,23 AUG 2025,2025-08-23,2025-08-23,"Piazza Émile Chanoux, Aosta (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7229065
COQUI International Cup,23 AUG 2025,2025-08-23,2025-08-23,"Estadio Jose A. Figueroa Freyre, Mayagüez (PUR)",PUR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7230992
WACT Silver Hammer Throw Competition,20 AUG 2025,2025-08-20,2025-08-20,"Sugár úti Atlétikai Centrum, Szombathely (HUN)",HUN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218868
25th International Pole Vault Meeting for Woman,17 AUG 2025,2025-08-17,2025-08-17,"Jahnstadion, Beckum (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218498
Golden Sand,17 AUG 2025,2025-08-17,2025-08-17,"Promenada Gwiazd, Miedzyzdroje (POL)",POL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218704
Road to Tokyo,16-17 AUG 2025,2025-08-16,2025-08-17,"AFU Athletics Stadium, Tashkent (UZB)",UZB,"Combined Events, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7229890
Meeting voor Mon,16 AUG 2025,2025-08-16,2025-08-16,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",BEL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219097
CITIUS Meeting,16 AUG 2025,2025-08-16,2025-08-16,"Stadion Wankdorf, Bern (SUI)",SUI,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219091
Internationales Nordthüringer Leichtathletikmeeting,15 AUG 2025,2025-08-15,2025-08-15,"Stadion am Göldner, Sondershausen (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219003
22. Internationaler Thumer Werfertag,15 AUG 2025,2025-08-15,2025-08-15,"Stadion an der Wiesenstraße, Thum (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219107
Grand Slam Jerusalem,14 AUG 2025,2025-08-14,2025-08-14,"Givat Ram Stadium, Jerusalem (ISR)",ISR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218645
Meeting Internacional C.D Meliz Sport,14 AUG 2025,2025-08-14,2025-08-14,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",ESP,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7229778
Copenhagen Athletics Games,13 AUG 2025,2025-08-13,2025-08-13,"Østerbro Stadium, Copenhagen (DEN)",DEN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218916
Motonet GP Oulu,13 AUG 2025,2025-08-13,2025-08-13,"Raatin Stadion, Oulu (FIN)",FIN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218999
Fribourg International Meeting,13 AUG 2025,2025-08-13,2025-08-13,"Stade universitaire de St-Léonard, Fribourg (SUI)",SUI,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7227127
Gyulai István Memorial - Hungarian Athletics Grand Prix,12 AUG 2025,2025-08-12,2025-08-12,"Nemzeti Atlétikai Központ, Budapest (HUN)",HUN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7208615
1st Indian Open World Athletics Bronze Level Continental Tour,10 AUG 2025,2025-08-10,2025-08-10,"Kalinga Stadium, Bhubaneshwar (IND)",IND,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7228701
Flight Circus,10 AUG 2025,2025-08-10,2025-08-10,"Untere Rheinwerft / Rheinuferpromenade, Düsseldorf (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219067
Folksam Grand Prix Sollentuna,10 AUG 2025,2025-08-10,2025-08-10,"Sollentunavallen, Sollentuna (SWE)",SWE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218989
Internationales Hochsprungmeeting Heilbronn,09-10 AUG 2025,2025-08-09,2025-08-10,"Marktplatz, Heilbronn (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219104
Mityng Ambasadorów Białostockiego i Podlaskiego Sportu,09 AUG 2025,2025-08-09,2025-08-09,"Stadion BOSiR, Białystok (POL)",POL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219428
IFAM Oordegem,09 AUG 2025,2025-08-09,2025-08-09,"Putbosstadion, Oordegem (BEL)",BEL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218629
British Milers Club Grand Prix,09 AUG 2025,2025-08-09,2025-08-09,"Longford Stadium Trafford, Manchester (GBR)",GBR,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219376
Sir Walter Miler,08 AUG 2025,2025-08-08,2025-08-08,"Meredith College, Raleigh, NC (USA)",USA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7222971
TIPOS P-T-S Meeting,08 AUG 2025,2025-08-08,2025-08-08,"Štadión SNP, Banská Bystrica (SVK)",SVK,"Race Walking, Track and Field",World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219098
Memorial Zbigniewa Ludwichowskiego,08 AUG 2025,2025-08-08,2025-08-08,"Uniwersytetu Warmińsko-Mazurskiego, Olsztyn (POL)",POL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219115
Serbia Athletics Meeting,07 AUG 2025,2025-08-07,2025-08-07,"Athletics Stadium, Beograd (SRB)",SRB,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219110
La Classique d'athlétisme de Montréal,06 AUG 2025,2025-08-06,2025-08-06,"Complexe Sportif Claude-Robillard, Montréal (CAN)",CAN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218309
8. International Wiesław Maniak Memorial,06 AUG 2025,2025-08-06,2025-08-06,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",POL,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218705
XXXIV Qosanov Memorial,02-03 AUG 2025,2025-08-02,2025-08-03,"Olympic Training Base, Almaty (KAZ)",KAZ,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7223870
ISTAF 2025,27 JUL 2025,2025-07-27,2025-07-27,"Olympiastadion, Berlin (GER)",GER,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219059
Triveneto Meeting Internazionale,26 JUL 2025,2025-07-26,2025-07-26,"Campo Sportivo G. Draghicchio, Trieste (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7220921
CAS Meeting International,26 JUL 2025,2025-07-26,2025-07-26,"Stade Jean Jacoby, Schifflange (LUX)",LUX,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7227149
Torneo Invitacional Gran Premio Richard Boroto,26-27 JUL 2025,2025-07-26,2025-07-27,"Pista Atlética Jefferson Pérez, Cuenca (ECU)",ECU,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7227022
RFFA - Rotterdam Festival For Athletics,26 JUL 2025,2025-07-26,2025-07-26,"Sportcomplex Het Langepad, Rotterdam (NED)",NED,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7226078
Folksam Grand Prix Göteborg,26 JUL 2025,2025-07-26,2025-07-26,"Slottsskogsvallen, Göteborg (SWE)",SWE,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7218987
Classique d'Athlétisme de Québec,25 JUL 2025,2025-07-25,2025-07-25,"PEPS de l'Université Laval, Quebec City (CAN)",CAN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7220859
Motonet GP Tampere,23 JUL 2025,2025-07-23,2025-07-23,"Ratinan Stadion, Tampere (FIN)",FIN,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219196
International Pegaso Meeting,23 JUL 2025,2025-07-23,2025-07-23,"Stadio Luigi Ridolfi, Firenze (ITA)",ITA,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7222043
Raiffeisen Austrian Open Eisenstadt,23 JUL 2025,2025-07-23,2025-07-23,"Leichtathletikarena, Eisenstadt (AUT)",AUT,Track and Field,World Athletics Continental Tour,https://worldathletics.org/competition/calendar-results/results/7219088
